Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100uF,
D1,D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,1,BZX55C3V3,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Co_x6_GND,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Co_x6_3V0,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Co_GPIOx1,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Co_GPIOx2,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Co_x2_battery,
J6,PinHeader_1x01_P2.54mm_Vertical,1,Co_x1_5V0,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Co_GPIOx3,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Bridge_I2C,
Q1,SOT-23,1,IRF9530,
R1,0603,1,10K,
"R2, R5",0603,2,100K,
"R3, R4",0805,2,4K7,
U1,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
