Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x5.8,1,100uF,
C2,0805,1,100nF,
ESP32-C3_SUPERMINI_TH,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
F1,Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal,1,Fuse,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Co_x6_GND,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Co_x6_3V3,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Co_GPIOx1,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Co_GPIOx2,
J5,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,Input_x3,
J6,PinHeader_1x01_P2.54mm_Vertical,1,Co_x1_5V0,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Co_GPIOx3,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Bridge_I2C,
PS1,Converter_ACDC_Hi-Link_HLK-PMxx,1,HLK-PM03,
"R3, R4",0805,2,4K7,
