"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J4";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"Co_1x_N";;;
2;"J7";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"Co_1x_5V";;;
3;"Q1,Q2";"TO-220-3_Vertical";2;"FQP27P06";;;
4;"J6";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"Co_1x_GND";;;
5;"J2";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"Co_1x_L";;;
6;"J3";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";1;"Co_5xV";;;
7;"D1,D2";"D_SOD-123";2;"1N4007";;;
8;"C1";"CP_Elec_6.3x5.8";1;"100uF";;;
9;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Output_x2";;;
10;"J5";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"I_PE";;;
11;"K1,K2";"RELAY_HF46F_005-HS1";2;"HF46F-G/5-HS1";;;
12;"J8";"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal";1;"I_N_L";;;
13;"R2,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"R100K";;;
14;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
15;"R1,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"R1K";;;
16;"Q3,Q4";"TO-92_Inline";2;"BC337";;;
